		3.2.3	Virksomheden engagerer sig aktivt i at fremme kulturel og social udvikling i de samfund, den er en del af, gennem langsigtede partnerskaber.	20	SAND			1,4	
S4	Forbrugere og slutbrugere					70	100	6,5	9
	4.1	Beskyttelse af forbrugerens rettigheder og sikkerhed							
		4.1.1	Virksomheden sikrer, at forbrugere og slutbrugere har adgang til klare og fyldestgørende oplysninger om produkter og tjenester – herunder sundhed, sikkerhed og miljøpåvirkninger.	20	SAND	20	50	2	
		4.1.2	Virksomheden beskytter privatlivets fred og behandler personoplysninger ansvarligt og i overensstemmelse med gældende lovgivning.	10	FALSK			0	
		4.1.3	Virksomheden tager aktive skridt til at beskytte brugeres personlige sikkerhed, herunder særlig beskyttelse af børn mod skadelige produkter og markedsføring.	20	FALSK			0	
	4.2	Ansvarlig markedsføring og social inklusion							
		4.2.1	Virksomheden anvender en ansvarlig markedsføringspraksis, der undgår vildledning og respekterer forbrugernes ret til oplyst valg.	20	SAND	50	50	2	
		4.2.2	Virksomheden fremmer inklusion ved at sikre, at produkter og tjenester er tilgængelige for alle og ikke diskriminerer på baggrund af fx køn, alder, handicap eller etnicitet.	15	SAND			1	
		4.2.3	Virksomheden arbejder aktivt for at tilpasse produkter og tjenester, så de imødekommer forskellige forbrugeres behov og understøtter lige adgang.	15	SAND			1	
G1	God forretningsskik					70	100	21,0	30
	1.1	Politikker							
		1.1.1	Virksomheden har implementeret politikker, der støtter virksomhedens værdier og overholder relevante lovgivningskrav.	15	SAND	70	80	4,5	
		1.1.2	Virksomheden har integrerede politikker med målsætninger og handlingsplaner for at sikre ansvarlig adfærd og bæredygtighed.	20	SAND			6,0	
		1.1.3	Virksomheden har politikker, der dækker alle relevante ESG-emner, med specifikke målsætninger og handlingsplaner for hvert område.	20	SAND			6,0	
		1.1.4	Virksomheden har en opfølgningsmekanisme for at sikre, at politikkerne bliver overholdt og opdateret regelmæssigt.	15	SAND			4,5	
	1.2	Korruption og bestikkelse							
		1.2.1	Virksomheden har dokumenteret antal domme og den samlede bødesum i sager relateret til korruption og bestikkelse.	5	FALSK	0	10	0,0	
		1.2.2	Virksomheden har en politik for at forebygge korruption og bestikkelse, som er integreret i virksomhedens etiske retningslinjer.	10	FALSK			0,0	
		1.2.3	Virksomheden har gennemført interne revisioner og træning for at forhindre korruption og bestikkelse.	5	FALSK			0,0	
	1.3	Aktivitet i kontroversielle sektorer							
		1.3.1	Hvis virksomheden er involveret i eller genererer indtægter fra kontroversielle sektorer som våbenproduktion (inkl. antipersonelminer og klyngeammunition), tobaksproduktion, fossilt brændsel, kemikalieproduktion, eller er ekskluderet fra EU-referencerammer i overensstemmelse med Parisaftalen, skal virksomheden dokumentere størrelsen af disse indtægter eller aktivitet og være transparent omkring disse aktiviteter. 	10	FALSK	0	10	0,0	
